variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
PK-scramble,1500.0,7.0,801,20000,1.0,0.1,gauss,0.9840528996922657,0.015947100307734274
PK-phaseJ,1500.0,7.0,801,20000,1.0,0.1,gauss,0.9838787590738398,0.016121240926160185
RANDW,1500.0,7.0,801,20000,1.0,0.1,gauss,0.9571050205255354,0.042894979474464634
CO,1500.0,5.0,1201,20000,1.0,0.1,fejer,0.9925214297550123,0.007478570244987659
INTSEQ,1500.0,7.0,801,20000,1.0,0.1,fejer,0.8123338348969559,0.18766616510304412
CO,1500.0,7.0,801,20000,1.0,0.1,fejer,0.9323999823754229,0.06760001762457712
INTSEQ,1500.0,5.0,1201,20000,1.0,0.1,fejer,0.9781184626622794,0.02188153733772058
PK-oddK,1500.0,7.0,1201,20000,1.0,0.1,fejer,0.9840714654789724,0.015928534521027604
PK,1500.0,7.0,1201,20000,1.0,0.1,fejer,0.9847336424452773,0.01526635755472272
CO,1500.0,5.0,1201,20000,1.0,0.1,gauss,0.9929505982038578,0.007049401796142218
PK-scramble,1500.0,7.0,1201,20000,1.0,0.1,fejer,0.9847336424452773,0.01526635755472272
INTSEQ,1500.0,7.0,801,20000,1.0,0.1,gauss,0.8206070401063602,0.1793929598936398
